Index,Data available as of 15 Jauary 2014?,Data.Downloaded,CatalogID,LocID,iso.code,CountryName.UN,CountryName.DHS,StartYear,EndYear,Type,Phase,Recode,SurveyName,ShortName,Survey code,Name for labels,StartDate,EndDate,RefDate,ImplementingOrg,OfficialName,Births.Recode,Births.Raw,Couples.Recode,HH.Recode,HH.Raw,Height/WeightScores,Individual.Recode,Individual.Raw,Childrens.Recode,Childrens.Raw,Male.Recode,Male.Raw,HHMember.Recode,HHMember.Raw,Verbal.Autopsy,HIVTestData,Other Biomarkers,Wealth.Index,Service.Availability,Other,Download notes,Sample.Type.Female,Sample.Type.Male,Sample.Size.HH,Sample.Size.Female,Sample.Size.Male,Sample.Age.Female,Sample.Age.Male,Deaths.HH,Deaths.Causes,Verbal.Autopsy,Sibling.Female,Sibling.Male,Orphanhood.Female,Orphanhood.Male,Pregnancy.History,Health.Expenditures,Maternal.Mortality,Micronutrients,Migration,AIDS.Test,Geography,Availability,Child mort processed,Child mort indirect only,Siblings processed,PregRelCode,PregRelCode notes,Status,Survey Characteristics,Updated by,Updated on,Notes,Report citation
840,Yes,Y,1831,818,EGY,Egypt,Egypt,1988,1988,Standard DHS,DHS-I,DHS-I,Egypt 1988 Demographic and Health Survey,1988 DHS,eg01,Egypt 1988 DHS,01/10/1988,31/01/1989,01/12/1988,Nat. Population Council,,egbr01,NA,NA,NA,eghh02,edhw01,egir01,NA,egkr01,NA,NA,NA,NA,NA,NA,NA,,NA,egsg02,,,Ever Married,None,9805,8911,NA,15 to 49,NA,,,N,N,NA,,,,,N,,,,,,Y,,N - NONSTANDARD IR FILE,,,,,,,,
850,Yes,Y,1832,818,EGY,Egypt,Egypt,1992,1992,Standard DHS,DHS-II,DHS-II,Egypt 1992 Demographic and Health Survey,1992 DHS,eg21,Egypt 1992 DHS,07/11/1992,07/02/1993,23/12/1992,Nat. Population Council,,egbr21,NA,NA,eghr21,NA,eghw21,egir21,NA,egkr21,NA,NA,NA,egpr21,NA,NA,NA,,NA,NA,,,Ever Married,Husbands,10760,9864,2466,15 to 49,NA,Y,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
860,Yes,Y,1829,818,EGY,Egypt,Egypt,1995,1995,Standard DHS,DHS-III,DHS-III,Egypt 1995 Demographic and Health Survey,1995 DHS,eg33,Egypt 1995 DHS,01/11/1995,06/02/1996,19/12/1995,Nat. Population Council,,egbr33,NA,NA,eghr33,NA,eghw33,egir33,NA,egkr33,NA,NA,NA,egpr33,NA,NA,NA,,egwi32,NA,Women's stauts: egws39,,Ever Married,None,15567,14779,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
870,Yes,Y,5738,818,EGY,Egypt,Egypt,1996,1997,In Depth,DHS-III,,Egypt 1996-97 In Depth Study,1996-1997 In Depth,,Egypt 1996/1997 In Depth,15/10/1996,15/11/1997,01/05/1997,Nat. Population Council,,NA,NA,NA,NA,eghh3a,NA,NA,egig3a,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,Ever Married,Husbands,NA,2444,1022,15 to 49,NA,,,N,N,N,,,,,N,,,,,,NA,,NA,,,,,,,,
880,Not in public domain,N,656,818,EGY,Egypt,Egypt,1997,1997,Interim DHS,DHS-III,,Egypt 1997 Interim Demographic and Health Survey,1997 EIDHS,,Egypt 1997 Interim DHS,14/12/1997,15/01/1998,30/12/1997,,,,,,,,,NA,,,,,,,,,,,,,,Not available,Ever Married,None,NA,5554,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,Not in public domain,N - DATA NOT IN PUBLIC DOMAIN,,NA,,,,,,,,
890,Not in public domain,N,643,818,EGY,Egypt,Egypt,1998,1998,Interim DHS,DHS-III,,Egypt 1998 Interim Demographic and Health Survey,1998 EIDHS,,Egypt 1998 Interim DHS,15/11/1998,15/12/1998,30/11/1998,,,,,,,,,NA,,,,,,,,,,,,,,Not available,Ever Married,None,6759,6406,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,Not in public domain,N - DATA NOT IN PUBLIC DOMAIN,,NA,,,,,,,,
900,Yes,Y,1830,818,EGY,Egypt,Egypt,2000,2000,Standard DHS,DHS-IV,DHS-IV,Egypt 2000 Demographic and Health Survey,2000 DHS,eg41,Egypt 2000 DHS,04/02/2000,04/05/2000,20/03/2000,Nat. Population Council,,egbr41,NA,NA,eghr41,NA,eghw41,egir41,NA,egkr41,NA,NA,NA,egpr41,NA,NA,NA,,egwi41,NA,,,Ever Married,None,16957,15573,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
910,Yes,Y,778,818,EGY,Egypt,Egypt,2003,2003,Interim DHS,DHS-IV,DHS-IV,Egypt 2003 Interim Demographic and Health Survey,2003 EIDHS,eg4a,Egypt 2003 Interim DHS,15/05/2003,27/06/2003,06/06/2003,Nat. Population Council,,ebgr4a,NA,NA,eghr4a,NA,eghw4a,egir4a,NA,egkr4a,NA,NA,NA,egpr4a,NA,NA,NA,,egwi4a,NA,,,Ever Married,None,10089,9159,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
920,Yes,Y,1806,818,EGY,Egypt,Egypt,2005,2005,Standard DHS,DHS-V,DHS-IV,Egypt 2005 Demographic and Health Survey,2005 DHS,eg51,Egypt 2005 DHS,21/04/2005,13/07/2005,02/06/2005,Ministry of Health and Population National Populat,,egbr51,NA,NA,eghr51,NA,eghw51,egir51,NA,egkr51,NA,NA,NA,egpr51,NA,NA,NA,,NA,NA,,,Ever Married,None,21972,19474,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
930,Yes,Y,4685,818,EGY,Egypt,Egypt,2008,2008,Standard DHS,DHS-V,DHS-V,Egypt 2008 Demographic and Health Survey,2008 DHS,eg5a,Egypt 2008 DHS,06/03/2008,11/06/2008,23/04/2008,Ministry of Health and Population/El-Zanaty and Associates,,egbr5a,NA,NA,eghr5a,eghh5a,NA,egir5a,egig5a,egkr5a,NA,NA,NA,egpr5a,egpq5a,NA,NA,egob5a,NA,NA,egod5a,,Ever Married,None,18968,16527,NA,15 to 49,NA,,,N,N,N,,,,,N,,,Y,Y,,Y,,NA,,,,,,,,
940,Yes,Y,5711,818,EGY,Egypt,Egypt,2014,2014,Standard DHS,DHS-VI,DHS-VI,Egypt 2014 Demographic and Health Survey,2014 DHS,eg61,Egypt 2014 DHS,10/04/2014,30/06/2014,20/05/2014,Ministry of Health and Population National Population Council El-Zanaty and Associates,,egbr61,,,eghr61,,,egir61,,egkr61,,,,egpr61,,,,,,,,,Ever Married,None,28175,21762,,16 to 49,NA,,,,N,N,,,,,N,,,,,,,,,,,,,SK,"May 21, 2015",,
950,Yes,Y,5789,818,EGY,Egypt,Egypt,2015,2015,Special,DHS-VII,DHS-VII,Egypt 2015 Egypt Health Issues Survey,2015 DHS Special,,Egypt 2015 DHS Special,08/02/2015,07/05/2015,24/03/2015,Ministry of Health and Population National Population Council El-Zanaty and Associates,,,,,,eghh72,,,egiq72,,egch72,,,,,,,,,,,,All Women,All Men,7516,9209,7462,15 to 59,15 to 59,,,,N,N,,,,,N,,,,,,,,,,,,,SK,"February 1, 2015","Accoring to a memo from DHS dated 1 Feb 2016, an error has been detected in the Egypt 2015 Health Issues Survey (HIS) datasets: (EGIQ71*.ZIP | EGHH71*.ZIP | EGCH71*.ZIP). I replaced the affected files.",
960,Yes,Y,1672,222,SLV,El Salvador,El Salvador,1985,1985,Standard DHS,DHS-I,DHS-I,El Salvador 1985 Demographic and Health Survey,1985 DHS,es00,El Salvador 1985 DHS,01/05/1985,31/07/1985,15/06/1985,Associación Demográfica Salvadoreña,1985 Encuesta Nacional de Salud Familiar,esbr00,NA,NA,NA,NA,NA,esir00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,All Women,None,4922,5207,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
970,Not in public domain,N,5052,226,GNQ,Equatorial Guinea,Equatorial Guinea,2011,2011,Standard DHS,DHS-VI,,Equatorial Guinea 2011 Demographic and Health Survey,2011 DHS,,Equatorial Guinea 2011 DHS,14/07/2011,15/11/2011,14/09/2011,,,,,,,,,,,,,,,,,,,,,,,Not available,All Women,All Men,4223,3575,1825,5 to 49,15 to 59,,,N,Y,?,,,,,Y,,,,,,N - NOT YET AVAILABLE,,N - NOT YET AVAILABLE,,,,,,,,
980,Restricted,N,1835,232,ERI,Eritrea,Eritrea,1995,1995,Standard DHS,DHS-III,DHS-III,Eritrea 1995 Demographic and Health Survey,1995 DHS,,Eritrea 1995 DHS,15/09/1995,15/01/1996,15/11/1995,Nat. Statistics Office,,,,,,,,NA,,,,,,,,,,,,,,Not available,All Women,All Men,5469,5054,1114,15 to 49,15 to 59,,,N,Y,Y,,,,,Y,,,,,restricted data,N - RESTRICTED DATA,,N - RESTRICTED DATA,,,,,,,,
990,Restricted,N,1849,232,ERI,Eritrea,Eritrea,2002,2002,Standard DHS,DHS-IV,DHS-IV,Eritrea 2002 Demographic and Health Survey,2002 DHS,,Eritrea 2002 DHS,15/03/2002,15/07/2002,15/05/2002,National Statistics and Evaluation Office,,,,,,,,NA,,,,,,,,,,,,,,Not available,All Women,None,9389,8754,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,restricted data,N - RESTRICTED DATA,,NA,,,,,,,,
1000,Yes,Y,1694,231,ETH,Ethiopia,Ethiopia,2000,2000,Standard DHS,DHS-IV,DHS-IV,Ethiopia 2000 Demographic and Health Survey,2000 DHS,et41,Ethiopia 2000 DHS,01/02/2000,31/05/2000,01/04/2000,Central Statistical Authority,,etbr41,NA,etcr41,ethr41,NA,ethw41,etir41,NA,etkr41,NA,etmr41,NA,etpr41,NA,NA,NA,NA,etwi41,NA,,,All Women,All Men,14072,15367,2607,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
1010,Yes,Y,1858,231,ETH,Ethiopia,Ethiopia,2005,2005,Standard DHS,DHS-V,DHS-IV,Ethiopia 2005 Demographic and Health Survey,2005 DHS,et50,Ethiopia 2005 DHS,27/04/2005,30/08/2005,28/06/2005,Population and Housing Census Commissions Office (,,etbr51,NA,etcr51,ethr51,NA,ethw51,etir51,NA,etkr51,NA,etmr51,NA,etpr51,NA,NA,etar51,NA,NA,NA,,,All Women,All Men,13721,14070,6033,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,,,Y,,Y,2;3;6,,,,,,,
1020,Yes,Y,5053,231,ETH,Ethiopia,Ethiopia,2011,2011,Standard DHS,DHS-VI,DHS-VI,Ethiopia 2010-2011 Demographic and Health Survey,2010-2011 DHS,et60,Ethiopia 2010-2011 DHS,27/12/2010,03/06/2011,16/03/2011,Central Statistical Agency,,etbr61,NA,etcr61,ethr61,NA,NA,etir61,NA,etkr61,NA,etmr61,NA,etpr61,NA,NA,etar61,NA,NA,NA,,,All Women,All Men,16702,16515,14110,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,,,Y,,Y,2;3;6,,,,,,,
1030,Yes,Y,5808,231,ETH,Ethiopia,Ethiopia,2016,2016,Standard DHS,DHS-VII,DHS-VII,Ethiopia 2016 Demographic and Health Survey,2016 DHS,et70,Ethiopia 2016 DHS,18/01/2016,27/06/2016,07/04/2016,Central Statistical Agency (CSA),,etbr70,NA,etcr70,ethr70,NA,NA,etir70,NA,etkr70,NA,etmr70,NA,etpr70,NA,NA,NA,NA,NA,NA,,,All Women,All Men,16650,15683,12688,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,,,Y,,Y,2;3;6,,,,SK,"Aug 29, 2016",,"Central Statistical Agency (CSA) [Ethiopia] and ICF. 2016. Ethiopia Demographic and Health Survey 2016. Addis Ababa, Ethiopia, and Rockville, Maryland, USA: CSA and ICF."
1040,Yes,Y,1737,266,GAB,Gabon,Gabon,2000,2000,Standard DHS,DHS-IV,DHS-III,Gabon 2000 Demographic and Health Survey,2000 DHS,ga41,Gabon 2000 DHS,04/07/2000,03/02/2001,19/10/2000,Direction Générale de la Stat. des Etudes Economiq,Enquête démographique et de santé,gabr41,NA,gacr41,gahr41,NA,gahw41,gair41,NA,gakr41,NA,gamr41,NA,gapr41,NA,NA,NA,NA,gawi41,gasq41,,,All Women,All Men,6203,6183,2004,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
1050,Yes,Y,5054,266,GAB,Gabon,Gabon,2012,2012,Standard DHS,DHS-VI,DHS-VI,Gabon 2012 Demographic and Health Survey,2012 DHS,ga60,Gabon 2012 DHS,02/01/2012,14/05/2012,08/03/2012,Direction Générale des Statistiques (DGS),,gabr60,NA,gacr60,gahr60,NA,NA,gair60,NA,gakr60,NA,gamr60,NA,gapr60,NA,NA,gaar60,NA,NA,NA,,,All Women,All Men,9755,8422,5654,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,,N - NOT YET AVAILABLE,,Y,2;3;6,,,,,,,
1060,Yes,Y,5462,270,GMB,Gambia,Gambia,2013,2013,Standard DHS,DHS-VI,DHS-VI,Gambia 2013 Demographic and Health Survey,2013 DHS,gm60,Gambia 2013 DHS,01/02/2013,23/04/2013,13/03/2013,The Gambia Bureau of Statistics (GBOS),,gmbr60,,gmcr60,gmhr60,,,gmir60,,gmkr60,,gmmr60,,gmpr60,,,,,,,,,All Women,All Men,6217,10233,3821,16 to 49,16 to 59,,,,Y,N,,,,,Y,,,,,not yet available,N - NOT YET AVAILABLE,,Y,2;3;6,,,,SK,"May 21, 2015",,
1070,Yes,Y,1753,288,GHA,Ghana,Ghana,1988,1988,Standard DHS,DHS-I,DHS-I,Ghana 1988 Demographic and Health Survey,1988 DHS,gh02,Ghana 1988 DHS,13/02/1988,05/06/1988,09/04/1988,Ghana Statistical Service,,ghbr02,NA,NA,NA,ghhh01,ghhw02,ghir02,NA,ghkr01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,All Women,Husbands,4406,4488,943,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
1080,Yes,Y,1754,288,GHA,Ghana,Ghana,1993,1993,Standard DHS,DHS-III,DHS-II,Ghana 1993 Demographic and Health Survey,1993 DHS,gh31,Ghana 1993 DHS,03/10/1993,02/02/1994,03/12/1993,Ghana Statistical Service,,ghbr31,NA,ghcr31,ghhr31,NA,ghhw31,ghir31,NA,ghkr31,NA,ghmr31,NA,ghpr31,NA,NA,NA,NA,ghwi31,NA,,,All Women,All Men,5822,4562,1302,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,Y,,Y,,N - INDIRECT ONLY,,,,,,,,
1090,Yes,Y,1751,288,GHA,Ghana,Ghana,1998,1998,Standard DHS,DHS-IV,DHS-III,Ghana 1998 Demographic and Health Survey,1998 DHS,gh41,Ghana 1998 DHS,10/11/1998,26/02/1999,03/01/1999,Ghana Statistical Service,,ghbr41,NA,ghcr41,ghhr41,NA,ghhw41,ghir41,NA,ghkr41,NA,ghmr41,NA,ghpr41,NA,NA,NA,NA,ghwi41,NA,,,All Women,All Men,6003,4843,1546,15 to 49,15 to 59,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
1100,Yes,Y,1752,288,GHA,Ghana,Ghana,2003,2003,Standard DHS,DHS-IV,DHS-IV,Ghana 2003 Demographic and Health Survey,2003 DHS,gh4a,Ghana 2003 DHS,29/07/2003,19/11/2003,23/09/2003,Ghana Statistical Service,,ghbr4b,NA,ghcr4b,ghhr4b,NA,ghhw4a,ghir4b,NA,ghkr4b,NA,ghmr4b,NA,ghpr4b,NA,NA,ghar4a,NA,NA,NA,,,All Women,All Men,6251,5691,5015,15 to 49,15 to 59,,,N,N,N,,,,,N,,,Y,Y,,Y,,NA,,,,,,,,
1110,Not from DHS,N,166,288,GHA,Ghana,Ghana,2006,2006,MICS,DHS-V,,Ghana 2006 Multiple Indicator Cluster Survey,2006 MICS,,Ghana 2006 MICS,15/08/2006,15/10/2006,14/09/2006,,,,,,,,,,,,,,,,,,,,,,,Not available,All Women,All Men,6302,6240,1909,15 to 49,15 to 49,,,N,N,N,,,,,N,,,,,,NA,,NA,,,,,,,,
1120,Yes,Y,4484,288,GHA,Ghana,Ghana,2007,2007,Special,DHS-V,,Ghana 2007 Maternal Health Survey,2007 MHS,gh51,Ghana 2007 Maternal Health Survey,15/10/2007,15/01/2008,30/11/2007,"Ghana Statistical Sevice/Ghana Health Service, Ministry of Health - See more at: http://dhsprogram.com/what-we-do/survey/survey-display-325.cfm#sthash.2g4UHxtZ.dpuf",,NA,NA,NA,NA,ghha51,NA,NA,ghiq51,NA,NA,NA,NA,NA,NA,ghva51,NA,NA,NA,NA,ghod51,,All Women,None,NA,10370,NA,15 to 49,NA,,,Y,Y,NA,,,,,Y,,,,,raw files only,N - SPECIAL,,N - Special,1;2;9,,,,VGT,"Feb, 25, 2016",Provided the code for the column PregColCode,
1130,Yes,Y,4688,288,GHA,Ghana,Ghana,2008,2008,Standard DHS,DHS-V,DHS-V,Ghana 2008 Demographic and Health Survey,2008 DHS,gh5h,Ghana 2008 DHS,08/09/2008,24/11/2008,16/10/2008,Ghana Statistical Services/Ministry of Health,,ghb45a,NA,ghcr5a,ghhr5a,NA,NA,ghir5a,ghiq51,ghkr5a,NA,ghmr5a,NA,ghpr5a,NA,ghva5a,NA,NA,NA,NA,,,All Women,All Men,11778,4916,4568,15 to 49,15 to 59,,,Y,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
1140,Not in public domain,N,5000,288,GHA,Ghana,Ghana,2011,2011,MICS,DHS-VI,,Ghana 2011 Multiple Indicator Cluster Survey,2011 MICS,,Ghana 2011 MICS,15/09/2011,15/12/2011,30/10/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,
1150,Yes,Y,5778,288,GHA,Ghana,Ghana,2014,2014,Standard DHS,DHS-VII,DHS-VI,Ghana 2014 Demographic and Health Survey,2014 DHS,gh72,Ghana 2014 DHS,01/09/2014,12/12/2014,22/10/2014,Ghana Statistical Service (GSS) and Ghana Health Service (GHS),2014 Ghana Demographic and Health Survey,ghbr72,NA,ghcr71,ghhr72,NA,2014 Ghana Demographic and Health Survey,ghir72,NA,ghkr71,NA,ghmr71,NA,ghpr72,NA,NA,NA,NA,NA,NA,,,All Women,All Men,11835,9396,4388,15 to 49,15 to 59,,,,,,,,,,N,,,,N,,,,,,,,,SK,"Oct 15, 2015",,
1160,Yes,Y,1763,320,GTM,Guatemala,Guatemala,1987,1987,Standard DHS,DHS-I,DHS-I,Guatemala 1987 Demographic and Health Survey,1987 DHS,gu01,Guatemala 1987 DHS,25/09/1987,16/12/1987,05/11/1987,Inst. de Nutrición de Cent. y Panamá,Encuesta Nacional de Salud Materno Infantil,gubr01,NA,NA,NA,guhh01,guhw01,guir01,NA,gukr01,NA,NA,NA,NA,NA,NA,NA,NA,NA,gusg01,NA,,All Women,None,5459,5160,NA,15 to 44,NA,,,N,N,N,,,,,N,,,,,Data collected for women 15-44,Y,,NA,,,,,,,,
1170,Yes,Y,1770,320,GTM,Guatemala,Guatemala,1995,1995,Standard DHS,DHS-III,DHS-III,Guatemala 1995 Demographic and Health Survey,1995 DHS,gu34,Guatemala 1995 DHS,14/06/1995,12/12/1995,12/09/1995,Inst. Nacional de Estadistica,Encuesta Nacional de Salud Materno Infantil,gubr34,NA,NA,guhr34,NA,guhw34,guir34,NA,gukr34,NA,NA,NA,gupr34,NA,NA,NA,NA,guwi33,,,,All Women,None,11297,12403,NA,15 to 49,NA,,,N,Y,NA,,,,,Y,,,,,,Y,,Y,2;3;6,,,,,,,
1180,Not in public domain,N,5739,320,GTM,Guatemala,Guatemala,1997,1997,In Depth,DHS-III,,Guatemala 1997 In Depth Survey,1997 In Depth,,Guatemala 1997 In Depth,15/03/1997,15/06/1997,30/04/1997,,,,,,,,,,,,,,,,,,,,,,,Not available,,None,,,,,,,,N,N,N,,,,,N,,,,,,NA,,NA,,,,,,,,
1190,Yes,Y,207,320,GTM,Guatemala,Guatemala,1998,1999,Interim DHS,DHS-IV,DHS-III,Guatemala 1998-1999 Interim Demographic and Health Survey,1998-1999 IDHS,gu41,Guatemala 1998-1999 Interim DHS,18/11/1998,29/04/1999,07/02/1999,Instituto Nacional de Estadistica,Encuesta Nacional de Salud Materno Infantil,gubr41,NA,NA,guhr41,NA,guhw41,guir41,NA,gukr41,NA,NA,NA,gupr41,NA,NA,NA,NA,guwi42,NA,,,All Women,None,5587,6021,NA,15 to 49,NA,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
1200,Yes,Y,5790,320,GTM,Guatemala,Guatemala,2014,2015,Standard DHS,DHS-VII,DHS-VI,Guatemala 2014-2015 Demographic and Health Survey,2014-2015 DHS,gu71,Guatemala 2014-2015 DHS,16/10/2014,09/07/2015,26/02/2015,Instituto Nacional de Estadística y ICF International,Encuesta Nacional de Salud Materno Infantil 2014-2015,gubr71,NA,NA,guhr71,NA,NA,guir71,NA,gukr71,NA,gumr71,NA,gupr71,NA,NA,NA,NA,NA,NA,,,All Women,All Men,21383,25914,11145,15 to 49,15 to 59,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,SK,09-Mar-17,,"Ministerio de Salud Pública y Asistencia Social (MSPAS), Instituto Nacional de Estadística (INE), ICF International, 2017. Encuesta Nacional de Salud Materno Infantil 2014-2015. Informe Final. Guatemala, MSPAS/INE/ICF"
1210,Not in public domain,N,1738,324,GIN,Guinea,Guinea,1992,1992,Standard DHS,Other,,Guinea 1992 Demographic and Health Survey,1992 DHS,,Guinea 1992 DHS,15/02/1992,15/03/1993,30/08/1992,Direction Nationale de la Statistique,Enquête démographique et de santé,,,,,,,NA,,,,,,,,,,,,,,Not available,All Women,All Men,6899,6065,1549,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,not in public domain,N - DATA NOT IN PUBLIC DOMAIN,,N - DATA NOT IN PUBLIC DOMAIN,,,,,,,,
1220,Yes,Y,1739,324,GIN,Guinea,Guinea,1999,1999,Standard DHS,DHS-IV,DHS-III,Guinea 1999 Demographic and Health Survey,1999 DHS,gn41,Guinea 1999 DHS,01/04/1999,11/08/1999,06/06/1999,Direction Nationale de la Statistique,Enquête démographique et de santé,gnbr41,NA,gncr41,gnhr41,NA,gnhw41,gnir41,NA,gnkr41,NA,gnmr41,NA,gnpr41,NA,NA,NA,NA,gnwi41,gnsg41,,,All Women,All Men,5090,6753,1980,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,,,Y,,Y,2;3;6,,,,SK,"Feb 11, 2016: corrected file name for houhold recode.",,
1230,Yes,Y,1740,324,GIN,Guinea,Guinea,2005,2005,Standard DHS,DHS-V,DHS-IV,Guinea 2005 Demographic and Health Survey,2005 DHS,gn51,Guinea 2005 DHS,01/02/2005,27/06/2005,15/04/2005,Direction Nationale de la Statistique,Enquête démographique et de santé,gnbr52,NA,gncr52,gnhr52,NA,gnhw51,gnir52,NA,gnkr52,NA,gnmr52,NA,gnpr53,NA,NA,gnar51,NA,NA,NA,,,All Women,All Men,6282,7954,3174,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,,,Y,,Y,2;3;6,,,,,,,
1240,Yes,Y,5422,324,GIN,Guinea,Guinea,2012,2012,Standard DHS,DHS-VI,DHS-VI,Guinea 2012 Demographic and Health Survey,2012 DHS,gn62,Guinea 2012 DHS,02/06/2012,10/10/2012,06/08/2012,Institut Nationale de la Statistique,,gnbr62,NA,gncr62,gnhr62,NA,NA,gnir62,NA,gnkr62,NA,gnmr62,NA,gnpr62,NA,NA,gnar61,NA,NA,NA,NA,Y,All Women,All Men,7109,9142,3782,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,,,N - NOT YET AVAILABLE,,Y,2;3;6,6=2 months after delivery,,,SK,29-Aug-17,"Corrections have been made to the household, women’s and men’s version 61 recode files, to incorporate the following changes: HV270, HV271, V190, V191, MV190, MV191: An error was found in the calculation of the wealth index, and has been corrected in this version.  This also affects all tabulations in the final report that include the wealth index as a background characteristic.  Data in the DHS STATcompiler have been re-run to use the updated wealth index, and reflect the change made. The changes implemented in the new version 62 recode files.",
1250,Yes,Y,,324,GIN,Guinea,Guinea,2012,2012,Standard DHS,DHS-VI,DHS-VI,Guinea 2012 Demographic and Health Survey,2012 DHS,,Guinea 2012 DHS,02/06/2012,10/10/2012,06/08/2012,Institut Nationale de la Statistique,,gnbr61,NA,gncr61,gnhr61,NA,NA,gnir61,NA,gnkr61,NA,gnmr61,NA,gnpr61,NA,NA,gnar61,NA,NA,NA,NA,Y,All Women,All Men,7109,9142,3782,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,Y,,,N - NOT YET AVAILABLE,,Y,2;3;6,6=2 months after delivery,,,SK,29-Aug-17,Don't use.,
1260,Yes,Y,139,328,GUY,Guyana,Guyana,2005,2005,Standard AIS,DHS-V,DHS-V,Guyana 2005 AIDS Indicator Survey,2005 AIS,gy51,Guyana 2005 AIS,15/06/2005,15/09/2005,31/07/2005,Guyana Responsible Parenthood Association,,gybr51,NA,NA,gyhr51,NA,NA,gyir51,NA,gykr51,NA,NA,NA,gypr51,NA,NA,NA,NA,NA,NA,,,All Women,All Men,2608,2425,1875,15 to 49,15 to 49,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
1270,Yes,Y,4701,328,GUY,Guyana,Guyana,2009,2009,Standard DHS,DHS-V,DHS-V,Guyana 2009 Demographic and Health Survey,2009 DHS,gy5i,Guyana 2009 DHS,02/03/2009,07/08/2009,20/05/2009,Ministry of Health (MOH/Bureau of Statistisc),,gybr5i,NA,gycr5i,gyhr5i,NA,NA,gyir5i,NA,gykr5i,NA,gymr5i,NA,gypr5i,,,,,,,,,All Women,All Men,5632,4996,3522,15 to 49,15 to 49,,,N,N,N,,,,,N,,,,Y,,Y,,NA,,,,,,,,
1280,Yes,Y,1764,332,HTI,Haiti,Haiti,1994,1995,Standard DHS,DHS-III,DHS-III,Haiti 1994-1995 Demographic and Health Survey,1994-1995 DHS,ht31,Haiti 1994-1995 DHS,03/06/1994,29/01/1995,01/10/1994,Inst. Haïtian de lEnfance,"Enquête mortalité, morbidité et utilisation des services",htbr31,NA,htcr31,hthr31,NA,hthw31,htir31,NA,htkr31,NA,htmr31,NA,htpr31,NA,NA,NA,NA,htwi31,htsg30,,,All women,All Men,4818,5356,1610,15 to 49,15 to 59,,,N,N,N,,,,,N,,,,,,Y,,NA,,,,,,,,
1290,Yes,Y,1765,332,HTI,Haiti,Haiti,2000,2000,Standard DHS,DHS-IV,DHS-IV,Haiti 2000 Demographic and Health Survey,2000 DHS,ht42,Haiti 2000 DHS,04/02/2000,25/07/2000,30/04/2000,Inst. Haïtian de lEnfance,"Enquête mortalité, morbidité et utilisation des services",htbr42,NA,htcr42,hthr42,NA,hthw42,htir42,NA,htkr42,NA,htmr42,NA,htpr42,NA,NA,NA,NA,htwi42,htsg41,,,All Women,All Men,9595,10159,3171,15 to 49,15 to 59,,,N,Y,N,,,,,Y,,,,Y,,Y,,Y,2;3;6,,,,,,,
